Price,QuantityInStock,WeightInGrams,LengthInCentimeters,WidthInCentimeters,UnitsSold
24185,43,2196,157,8286,7
22918,22,9577,88,5539,396
15126,43,3856,246,5838,485
6757,30,2477,406,14958,496
19003,18,9461,97,11858,479
21645,23,3251,311,14339,266
8110,22,3016,382,7496,306
21091,13,2327,352,13653,140
26241,10,3575,439,7353,477
12306,47,7547,83,13173,440
16015,42,4509,325,9302,216
17131,46,8948,230,12776,313
2637,39,3382,351,11156,378
5109,48,5733,263,5638,332
28829,36,5076,159,10884,324
29260,32,6265,207,9402,334
22996,47,7079,187,4574,255
28267,19,9845,309,7449,46
22392,26,4836,406,5330,305
29765,40,9443,467,9750,221
2020,31,9646,410,8823,44
26245,13,7101,381,5120,402
15886,18,8450,252,8708,451
21391,21,1222,377,12427,107
6697,27,9406,391,12937,80
18800,42,5671,306,9670,189
19847,16,2461,70,13524,187
6179,17,9228,447,12523,277
3705,43,8703,290,7984,263
11196,48,7614,395,14407,308
3221,48,1252,310,12763,218
9572,36,7270,296,14409,128
26207,23,4946,428,4140,67
5931,15,5836,302,14492,47
18046,46,2415,136,13759,279
8542,40,2720,410,4386,317
28138,37,3656,344,6051,131
19151,40,1192,138,14413,144
22419,33,6728,221,13608,91
10223,38,9624,128,12154,258
12899,16,6675,239,5462,342
16637,19,6669,297,5936,387
25024,29,4761,297,14524,58
24624,34,2612,442,8428,207
6412,31,5216,259,6224,361
20803,44,5491,322,6236,200
14726,24,4780,426,4928,327
13148,21,7617,117,5632,347
7080,18,1041,324,5456,300
21953,28,7918,388,14975,201
13814,31,9063,396,7700,91
6790,21,2180,57,5367,492
12665,15,6773,66,8555,227
14813,21,1705,442,4356,222
17365,26,1974,332,6596,290
20952,43,4447,248,6266,293
12592,32,2855,160,13617,299
15902,18,6387,191,14726,319
9663,38,5201,57,11496,73
14871,49,4754,426,12655,81
13362,16,2068,492,14144,475
10129,24,3822,84,5104,51
20422,16,8720,194,14793,368
26360,44,1111,417,12042,430
25578,25,8164,250,13510,226
3277,12,2444,473,10338,392
27105,47,6705,326,8619,143
17147,28,3014,277,13166,489
10026,26,4718,425,12380,132
29952,16,2371,444,9604,363
13760,15,7257,437,9190,401
8583,37,9302,316,10144,471
5643,24,4845,245,10179,122
22663,22,5020,246,12055,168
18697,39,2891,486,14141,436
16966,20,8369,187,5237,451
13995,39,8057,339,6273,308
16587,22,4635,322,14734,27
24792,37,5926,345,5852,337
11667,36,7062,448,12168,76
14313,14,2426,196,7412,415
10853,32,8654,80,12765,262
17825,47,2963,360,10399,363
3285,13,5161,479,6274,284
9707,35,5231,356,14072,366
23170,28,6818,266,4196,32
2190,17,6145,184,10048,229
6597,18,9690,387,13698,174
18416,13,4469,177,5899,238
15282,34,3290,365,7902,117
25430,34,4382,309,4552,72
25940,18,3351,82,11845,21
13992,29,8083,402,5200,437
13236,16,1964,437,12814,46
22978,13,5484,242,8789,488
29273,41,3372,51,9933,121
29994,48,4238,493,5659,390
11914,22,2209,283,8311,454
15141,12,1511,442,9522,79
27723,31,2660,384,10681,196
13660,23,8991,467,7021,23
14140,26,8593,471,4808,418
22555,31,6091,295,14342,296
21766,42,7844,180,7715,293
10252,15,7958,116,12072,123
18631,20,8970,435,5443,124
27024,46,6820,155,8182,93
8944,43,8751,265,14432,31
14476,38,4054,176,14545,400
14682,44,7630,154,6180,416
29695,14,9593,100,4890,191
23556,24,4799,270,4007,68
16308,29,9022,60,11879,184
13441,21,5782,168,7052,460
8989,10,1283,212,10152,61
7195,36,9513,206,8793,253
21675,36,5802,51,11175,85
5212,45,1134,68,8663,166
2622,30,4108,61,8163,346
6385,45,4170,375,14830,132
27118,30,4448,241,12628,300
10149,32,2717,98,5401,284
3292,32,2272,425,10057,379
6042,31,3097,312,8135,299
23795,16,8870,229,8816,485
29800,23,1309,50,6760,16
8363,11,7358,369,12106,19
27870,45,2042,402,8949,96
21935,46,4806,285,8352,56
15026,23,2568,292,14512,382
17291,44,1652,329,12187,398
3671,46,2743,155,13692,407
27017,17,1554,53,5893,42
26259,42,1011,156,5573,428
11086,26,8795,421,7444,13
14755,35,8483,274,6361,474
6370,22,4599,397,7409,358
14846,11,6407,210,8477,318
23885,27,8443,407,8090,199
4247,21,6077,492,14250,256
14403,16,7293,126,11935,376
8117,46,9148,371,5396,428
8185,41,7398,138,4619,304
21085,15,8428,103,4220,178
13633,17,1606,489,13681,471
22507,25,4287,332,5183,43
12871,17,1469,369,9320,245
18439,48,7869,265,11234,240
9419,31,3894,424,13108,48
19999,46,2301,284,6710,217
5567,45,6441,149,11909,13
28180,49,6085,410,6244,370
17883,10,2654,235,8254,148
12047,42,2206,475,13413,15
26767,35,9816,211,7352,39
2090,43,6269,387,14624,270
11250,31,2436,281,14218,147
28313,46,5296,422,9568,288
4941,38,1407,194,6780,123
22687,46,8239,171,6641,102
7389,42,1982,430,13440,77
18140,17,6354,74,10147,94
4680,48,7173,262,11020,27
26597,33,7330,108,9365,371
11089,45,7234,260,12088,457
22582,11,5022,340,6423,399
28818,46,7249,308,5624,181
22442,13,9872,380,7413,253
29671,17,8426,409,11208,213
13760,20,5195,189,4007,281
25572,37,1663,156,12058,120
15641,22,4261,394,7725,345
19509,45,3862,392,12704,161
4884,13,2553,214,9995,453
13652,22,3242,194,5431,304
28055,12,4055,183,5630,330
29798,12,3922,83,10034,143
15747,11,7138,380,8914,444
11809,41,9828,64,6830,120
11593,19,3801,122,7337,87
11620,27,3001,466,6310,449
4114,17,7421,213,8873,216
22660,48,7157,384,7670,373
19417,21,5533,427,8979,14
9701,33,1724,114,12287,251
13566,18,1372,140,10812,202
12400,27,3280,175,13054,475
22612,30,4265,283,4449,497
15978,40,3434,140,4985,463
16668,33,7029,220,11319,378
16329,47,3086,214,13741,169
